iteration,timestamp,nvehicles,ntripupdates,what,wall,cpu
24,1567012324,38,32,"updating vehicle states",311.169,696.65
24,1567012324,38,32,"updating network state",0.36688,0.734
24,1567012324,38,32,"predicting ETAs",477.866,781.756
24,1567012324,38,32,"writing ETAs to protobuf feed",214.754,231.234
25,1567012354,42,37,"loading vehicle positions",9.67643,0.619
25,1567012354,42,37,"updating vehicle information",0.17542,0.175
25,1567012354,42,37,"updating vehicle states",215.375,552.35
25,1567012354,42,37,"updating network state",0.366395,1.09
25,1567012354,42,37,"predicting ETAs",297.503,516.85
25,1567012354,42,37,"writing ETAs to protobuf feed",218.191,235.805
26,1567012385,45,40,"loading vehicle positions",10.3585,1.179
26,1567012385,45,40,"updating vehicle information",0.549648,0.385
26,1567012385,45,40,"updating vehicle states",291.155,723.654
26,1567012385,45,40,"updating network state",0.65323,1.555
26,1567012385,45,40,"predicting ETAs",269.272,565.673
26,1567012385,45,40,"writing ETAs to protobuf feed",218,237.327
27,1567012413,44,40,"loading vehicle positions",9.65837,0.616
27,1567012413,44,40,"updating vehicle information",0.139546,0.139
27,1567012413,44,40,"updating vehicle states",233.466,592.421
27,1567012413,44,40,"updating network state",0.399833,1.186
27,1567012413,44,40,"predicting ETAs",259.47,535.18
27,1567012413,44,40,"writing ETAs to protobuf feed",215.195,232.589
28,1567012443,44,39,"loading vehicle positions",9.29137,0.597
28,1567012443,44,39,"updating vehicle information",0.189248,0.137
28,1567012443,44,39,"updating vehicle states",254.173,604.251
28,1567012443,44,39,"updating network state",0.356051,0.711
28,1567012443,44,39,"predicting ETAs",956.846,1243.2
28,1567012443,44,39,"writing ETAs to protobuf feed",214.496,237.213
29,1567012473,45,39,"loading vehicle positions",9.32685,0.583
29,1567012473,45,39,"updating vehicle information",0.134211,0.134
29,1567012473,45,39,"updating vehicle states",278.986,633.842
29,1567012473,45,39,"updating network state",0.369592,0.694
29,1567012473,45,39,"predicting ETAs",212.089,487.87
29,1567012473,45,39,"writing ETAs to protobuf feed",217.882,236.771
30,1567012504,44,38,"loading vehicle positions",9.88497,0.667
30,1567012504,44,38,"updating vehicle information",0.173399,0.14
30,1567012504,44,38,"updating vehicle states",283.298,690.429
30,1567012504,44,38,"updating network state",0.403734,0.701
30,1567012504,44,38,"predicting ETAs",215.413,519.428
30,1567012504,44,38,"writing ETAs to protobuf feed",215.983,237.838
31,1567012533,45,40,"loading vehicle positions",9.22543,0.577
31,1567012533,45,40,"updating vehicle information",0.133784,0.134
31,1567012533,45,40,"updating vehicle states",326.02,884.635
31,1567012533,45,40,"updating network state",0.360431,0.721
31,1567012533,45,40,"predicting ETAs",233.812,537.183
31,1567012533,45,40,"writing ETAs to protobuf feed",215.44,237.743
32,1567012563,46,41,"loading vehicle positions",10.0161,0.657
32,1567012563,46,41,"updating vehicle information",0.158011,0.153
32,1567012563,46,41,"updating vehicle states",329.794,891.913
32,1567012563,46,41,"updating network state",0.362872,1.088
32,1567012563,46,41,"predicting ETAs",264.488,623.06
32,1567012563,46,41,"writing ETAs to protobuf feed",217.686,237.935
33,1567012593,48,43,"loading vehicle positions",9.20006,0.603
33,1567012593,48,43,"updating vehicle information",0.212767,0.161
33,1567012593,48,43,"updating vehicle states",293.928,845.875
33,1567012593,48,43,"updating network state",0.370066,0.74
33,1567012593,48,43,"predicting ETAs",248.89,546.333
33,1567012593,48,43,"writing ETAs to protobuf feed",214.991,233.524
34,1567012624,48,43,"loading vehicle positions",40.8271,0.947
34,1567012624,48,43,"updating vehicle information",0.142362,0.143
34,1567012624,48,43,"updating vehicle states",404.41,1050.45
34,1567012624,48,43,"updating network state",0.38033,0.906
34,1567012624,48,43,"predicting ETAs",271.556,634.794
34,1567012624,48,43,"writing ETAs to protobuf feed",216.16,236.511
35,1567012654,49,44,"loading vehicle positions",9.76656,0.802
35,1567012654,49,44,"updating vehicle information",0.311088,0.195
35,1567012654,49,44,"updating vehicle states",317.41,805.721
35,1567012654,49,44,"updating network state",0.393027,0.77
35,1567012654,49,44,"predicting ETAs",256.954,569.902
35,1567012654,49,44,"writing ETAs to protobuf feed",215.828,238.184
36,1567012684,50,44,"loading vehicle positions",9.76865,0.717
36,1567012684,50,44,"updating vehicle information",0.155054,0.155
36,1567012684,50,44,"updating vehicle states",397.954,974.961
36,1567012684,50,44,"updating network state",0.383286,1.149
36,1567012684,50,44,"predicting ETAs",333.842,683.777
36,1567012684,50,44,"writing ETAs to protobuf feed",215.657,236.933
37,1567012714,51,46,"loading vehicle positions",9.59079,0.693
37,1567012714,51,46,"updating vehicle information",0.163641,0.164
37,1567012714,51,46,"updating vehicle states",362.771,997.325
37,1567012714,51,46,"updating network state",0.414416,1.065
37,1567012714,51,46,"predicting ETAs",244.725,566.192
37,1567012714,51,46,"writing ETAs to protobuf feed",216.589,238.598
38,1567012745,53,46,"loading vehicle positions",9.85493,0.724
38,1567012745,53,46,"updating vehicle information",0.175291,0.163
38,1567012745,53,46,"updating vehicle states",321.48,842.747
38,1567012745,53,46,"updating network state",0.386239,0.772
38,1567012745,53,46,"predicting ETAs",789.078,1206.72
38,1567012745,53,46,"writing ETAs to protobuf feed",217.116,231.464
39,1567012775,55,49,"loading vehicle positions",9.40174,0.696
39,1567012775,55,49,"updating vehicle information",0.174362,0.174
39,1567012775,55,49,"updating vehicle states",419.067,1010.18
39,1567012775,55,49,"updating network state",0.390188,0.826
39,1567012775,55,49,"predicting ETAs",275.42,601.858
39,1567012775,55,49,"writing ETAs to protobuf feed",215.319,237.971
40,1567012804,56,47,"loading vehicle positions",9.55541,0.729
40,1567012804,56,47,"updating vehicle information",0.173843,0.173
40,1567012804,56,47,"updating vehicle states",341.232,896.846
40,1567012804,56,47,"updating network state",0.37938,0.909
40,1567012804,56,47,"predicting ETAs",229.531,564.381
40,1567012804,56,47,"writing ETAs to protobuf feed",217.109,236.41
41,1567012832,60,50,"loading vehicle positions",9.71246,0.76
41,1567012832,60,50,"updating vehicle information",0.188339,0.188
41,1567012832,60,50,"updating vehicle states",423.516,1007.23
41,1567012832,60,50,"updating network state",0.389436,1.152
41,1567012832,60,50,"predicting ETAs",434.822,726.762
41,1567012832,60,50,"writing ETAs to protobuf feed",217.187,236.056
42,1567012863,63,51,"loading vehicle positions",9.46337,0.809
42,1567012863,63,51,"updating vehicle information",0.248708,0.197
42,1567012863,63,51,"updating vehicle states",434.785,944.675
42,1567012863,63,51,"updating network state",0.410976,0.941
42,1567012863,63,51,"predicting ETAs",409.037,856.3
42,1567012863,63,51,"writing ETAs to protobuf feed",215.501,237.961
43,1567012894,63,52,"loading vehicle positions",9.84455,0.877
43,1567012894,63,52,"updating vehicle information",0.2695,0.21
43,1567012894,63,52,"updating vehicle states",430.066,1002.41
43,1567012894,63,52,"updating network state",0.36787,1.15
43,1567012894,63,52,"predicting ETAs",245.51,610.031
43,1567012894,63,52,"writing ETAs to protobuf feed",219.518,238.363
44,1567012923,65,53,"loading vehicle positions",9.8413,0.89
44,1567012923,65,53,"updating vehicle information",0.21968,0.215
44,1567012923,65,53,"updating vehicle states",440.891,1057.75
44,1567012923,65,53,"updating network state",0.47074,1.019
44,1567012923,65,53,"predicting ETAs",439.2,817.954
44,1567012923,65,53,"writing ETAs to protobuf feed",217.396,238.155
45,1567012953,67,56,"loading vehicle positions",9.68473,0.793
45,1567012953,67,56,"updating vehicle information",0.215728,0.211
45,1567012953,67,56,"updating vehicle states",499.664,1067.54
45,1567012953,67,56,"updating network state",0.39766,0.959
45,1567012953,67,56,"predicting ETAs",246.649,592.12
45,1567012953,67,56,"writing ETAs to protobuf feed",216.632,238.863
46,1567012984,69,55,"loading vehicle positions",9.96897,0.854
46,1567012984,69,55,"updating vehicle information",0.200671,0.201
46,1567012984,69,55,"updating vehicle states",430.229,985.254
46,1567012984,69,55,"updating network state",0.452565,0.66
46,1567012984,69,55,"predicting ETAs",311.556,659.247
46,1567012984,69,55,"writing ETAs to protobuf feed",218.196,237.71
47,1567013014,72,55,"loading vehicle positions",10.5639,1.386
47,1567013014,72,55,"updating vehicle information",0.552978,0.552
47,1567013014,72,55,"updating vehicle states",502.139,1131.4
47,1567013014,72,55,"updating network state",0.393391,0.927
47,1567013014,72,55,"predicting ETAs",302.887,742.377
47,1567013014,72,55,"writing ETAs to protobuf feed",215.332,237.624
48,1567013043,73,56,"loading vehicle positions",9.40947,0.765
48,1567013043,73,56,"updating vehicle information",0.216135,0.216
48,1567013043,73,56,"updating vehicle states",592.534,1181.89
48,1567013043,73,56,"updating network state",0.393427,1.107
48,1567013043,73,56,"predicting ETAs",845.467,1288.39
48,1567013043,73,56,"writing ETAs to protobuf feed",220.309,239.232
49,1567013074,72,58,"loading vehicle positions",10.0303,0.859
49,1567013074,72,58,"updating vehicle information",0.282986,0.241
49,1567013074,72,58,"updating vehicle states",508.889,1263.55
49,1567013074,72,58,"updating network state",0.401312,1.153
49,1567013074,72,58,"predicting ETAs",280.87,698.886
49,1567013074,72,58,"writing ETAs to protobuf feed",218.916,240.555
50,1567013105,78,62,"loading vehicle positions",9.87304,0.904
50,1567013105,78,62,"updating vehicle information",0.294956,0.26
50,1567013105,78,62,"updating vehicle states",456.917,1104.73
50,1567013105,78,62,"updating network state",0.424057,0.765
50,1567013105,78,62,"predicting ETAs",281.109,667.681
50,1567013105,78,62,"writing ETAs to protobuf feed",222.33,239.752
